eruption_year,started_in_year_count,ended_in_year_count,total_eruptions
1900.0,12,13,27
1901.0,8,10,22
1902.0,22,16,34
1903.0,14,14,32
1904.0,19,20,37
1905.0,14,16,31
1906.0,17,17,32
1907.0,20,21,35
1908.0,15,14,29
1909.0,17,15,32
1910.0,18,20,35
1911.0,16,15,31
1912.0,8,10,24
1913.0,14,13,28
1914.0,14,14,29
1915.0,13,16,28
1916.0,9,9,21
1917.0,13,15,25
1918.0,16,13,26
1919.0,18,14,31
1920.0,10,8,27
1921.0,17,19,36
1922.0,15,17,32
1923.0,23,21,38
1924.0,15,16,32
1925.0,12,12,28
1926.0,22,20,38
1927.0,20,18,38
1928.0,19,25,39
1929.0,26,25,40
1930.0,15,15,30
1931.0,19,20,34
1932.0,21,19,35
1933.0,22,21,38
1934.0,19,16,36
1935.0,16,18,36
1936.0,20,21,38
1937.0,18,16,35
1938.0,18,17,37
1939.0,24,24,44
1940.0,18,21,38
1941.0,11,12,28
1942.0,12,14,28
1943.0,12,8,26
1944.0,14,13,32
1945.0,12,18,31
1946.0,26,19,39
1947.0,14,22,34
1948.0,24,19,36
1949.0,20,18,37
1950.0,27,23,46
1951.0,26,27,49
1952.0,25,27,47
1953.0,35,33,55
1954.0,26,30,48
1955.0,21,20,39
1956.0,29,25,48
1957.0,27,32,50
1958.0,34,32,52
1959.0,27,24,47
1960.0,21,19,44
1961.0,27,28,52
1962.0,22,21,46
1963.0,35,29,60
1964.0,26,31,57
1965.0,30,28,56
1966.0,29,34,57
1967.0,35,32,58
1968.0,37,38,63
1969.0,28,30,53
1970.0,28,27,51
1971.0,37,35,61
1972.0,30,28,56
1973.0,44,34,72
1974.0,37,44,75
1975.0,24,21,55
1976.0,30,25,64
1977.0,36,39,75
1978.0,27,28,63
1979.0,27,26,62
1980.0,38,41,74
1981.0,30,30,63
1982.0,33,39,66
1983.0,34,28,61
1984.0,36,33,69
1985.0,30,31,66
1986.0,44,44,79
1987.0,33,29,68
1988.0,27,31,66
1989.0,30,32,65
1990.0,29,30,62
1991.0,38,34,70
1992.0,26,29,62
1993.0,29,33,62
1994.0,37,34,66
1995.0,32,37,64
1996.0,32,28,59
1997.0,27,30,58
1998.0,31,26,59
1999.0,41,36,74
2000.0,45,45,83
2001.0,39,42,77
2002.0,45,43,80
2003.0,35,40,72
2004.0,52,47,84
2005.0,47,41,84
2006.0,45,42,88
2007.0,35,40,81
2008.0,46,43,87
2009.0,37,37,81
2010.0,39,42,83
2011.0,37,35,78
2012.0,39,41,82
2013.0,38,40,79
2014.0,44,36,83
2015.0,40,38,87
2016.0,35,43,84
2017.0,35,35,76
2018.0,39,35,80
2019.0,29,30,74
2020.0,5,49,49
